Año,Inflación
1962,22.7
1963,17.8
1964,14
1965,10.2
1966,21.2
1967,25
1968,8.1
1969,5.6
1970,4.4
1971,29.2
1972,58.5
1973,60.3
1974,24.2
1975,182.8
1976,444.1
1977,176
1978,175.5
1979,159.5
1980,100.8
1981,164.7
1982,343.5
1983,433.7
1984,688
1985,385.4
1986,81.9
1987,174.8
1988,387.7
1989,3079.5
1990,2314
1991,84
1992,17.5
1993,7.4
1994,3.9
1995,1.6
1996,0.1
1997,0.3
1998,0.7
1999,-1.2
2000,-0.9
2001,-1.1
2002,40.9
2003,3.7
2004,6.1
2005,12.3
2006,9.8
2007,14.8
2008,25.7
2009,11.4
2010,23.9
2011,18.3
2012,25.2
2013,27.9
2014,38.5
2015,27.8
2016,40.5
2017,24.8
2018,47.6
2019,53.8
2020,36.1
2021,50.9
2022,94.8